"price";"Overall.Qual";"Garage.Area";"Total.Bsmt.SF";"X1st.Flr.SF";"Full.Bath";"AgeofHouse";"Mas.Vnr.Area";"TotRms.AbvGrd";"Fireplaces";"Wood.Deck.SF";"Longitude";"Latitude";"Neighborhood"
5.245;7;7.707;11.169;11.883;2;1;3.421;7;1;3.587;"-93,641515";"42,062557";"Blmngtn"
5.369;7;6.148;11.12;11.838;2;1;1.273;7;1;3.587;"-93,641946";"42,063298";"Blmngtn"
5.332;8;6;10.704;11.447;2;1;1.897;7;1;3.587;"-93,640287";"42,063329";"Blmngtn"
5.258;7;6.413;11.006;11.634;2;1;1.2;7;1;3.747;"-93,642597";"42,062266";"Blmngtn"
5.056;6;4.874;7.777;7.777;1;7;4.884;7;0;0;"-93,627855";"42,052696";"BrDale"
5.002;6;5.628;6.593;6.593;1;8;6.163;5;0;6.082;"-93,627114";"42,051479";"BrDale"
4.982;6;4.874;6.593;6.593;1;8;6.735;5;0;4.975;"-93,627271";"42,051835";"BrDale"
4.931;6;4.874;6.593;6.593;1;8;4.569;4;0;0;"-93,62765";"42,051678";"BrDale"
5.048;5;4.874;7.53;7.53;2;8;5.66;6;0;0;"-93,629425";"42,051659";"BrDale"
4.806;3;0;5.771;6.307;1;12;0;4;0;0;"-93,628654";"42,036023";"BrkSide"
4.932;4;0;6.293;8.844;1;10;0;4;0;0;"-93,629185";"42,03537";"BrkSide"
5.072;5;4.295;9.444;9.845;1;12;0;5;2;0;"-93,627578";"42,034563";"BrkSide"
4.9;5;5.265;8.172;8.373;1;10;0;4;0;0;"-93,625728";"42,03338";"BrkSide"
5.13;5;4.49;8.094;8.094;2;2;0;6;0;0;"-93,624715";"42,033482";"BrkSide"
4.94;4;4.243;8.298;8.298;1;12;0;4;0;3.486;"-93,625586";"42,033621";"BrkSide"
5.107;6;7.2;7.175;8.736;1;12;0;6;2;0;"-93,622597";"42,0336";"BrkSide"
5.122;6;5.02;8.379;8.617;1;12;0;6;1;2.012;"-93,623515";"42,033347";"BrkSide"
5.021;6;4.648;8.155;8.869;2;12;0;7;1;0;"-93,621532";"42,033366";"BrkSide"
4.968;5;5.367;6.49;8.601;1;12;6.321;6;0;0;"-93,621677";"42,033496";"BrkSide"
5;5;6.293;10.151;10.821;1;12;0;5;0;0;"-93,624689";"42,031395";"BrkSide"
5.053;5;4.648;8.92;8.92;1;12;0;5;0;0;"-93,623643";"42,032399";"BrkSide"
4.778;2;0;4.874;8.485;1;12;0;4;1;0;"-93,623643";"42,032359";"BrkSide"
5.1;6;6.893;8.803;8.803;1;12;0;6;1;4.5;"-93,623631";"42,031433";"BrkSide"
5.121;5;5.02;7.777;8.995;1;11;0;7;0;0;"-93,624539";"42,031438";"BrkSide"
5.061;5;4.648;8.98;8.98;1;12;0;7;0;4.243;"-93,62454";"42,031499";"BrkSide"
4.906;4;0;0;7.777;1;12;0;3;0;0;"-93,623481";"42,031415";"BrkSide"
5.138;5;4.025;9.193;9.193;1;1;0;8;0;1.47;"-93,621502";"42,032386";"BrkSide"
5.173;5;4.5;9.684;9.684;1;12;0;8;1;0;"-93,621484";"42,031436";"BrkSide"
5.106;6;7.099;8.92;9.29;1;12;0;6;1;0;"-93,622402";"42,031483";"BrkSide"
5.217;5;5.499;8.617;13.652;1;11;5.739;9;1;3.434;"-93,662126";"42,032652";"ClearCr"
5.208;4;5.231;9.968;9.968;1;4;0;8;2;3.286;"-93,660877";"42,032503";"ClearCr"
5.48;7;8.155;12.16;12.812;2;1;5.62;5;2;5.848;"-93,676272";"42,02868";"ClearCr"
5.362;6;6.854;10.026;10.026;2;4;5.091;8;1;5.499;"-93,675038";"42,024673";"ClearCr"
5.407;6;6.887;10.767;14.764;3;3;5.196;6;2;0;"-93,66504";"42,028424";"ClearCr"
5.383;7;6.286;11.165;11.076;1;1;0;5;2;2.7;"-93,666066";"42,028568";"ClearCr"
5.408;4;6.9;11.08;12.234;1;3;0;6;2;4.49;"-93,666216";"42,028595";"ClearCr"
5.273;6;6.321;8.653;9.372;2;0;3.759;9;0;3.46;"-93,6825099";"42,024734";"ClearCr"
5.51;9;10.12;11.83;12.296;1;0;4.667;8;1;4.08;"-93,687067";"42,026626";"CollgCr"
5.471;8;8.798;12.082;12.112;2;1;4.93;8;1;3.934;"-93,688993";"42,026414";"CollgCr"
5.521;9;8.726;12.442;12.442;2;1;5.724;8;1;4.327;"-93,689091";"42,026372";"CollgCr"
5.441;8;8.839;11.549;11.549;2;0;4.93;10;1;0;"-93,690234";"42,025558";"CollgCr"
5.288;7;8.622;10.564;10.564;2;1;0;5;0;3.55;"-93,69003";"42,024633";"CollgCr"
5.312;7;7.794;11.611;11.611;2;0;0;5;0;5.62;"-93,688925";"42,025218";"CollgCr"
5.328;8;7.788;11.576;11.619;2;1;3.447;7;1;3.6;"-93,688923";"42,025156";"CollgCr"
5.299;7;8.161;10.504;10.504;2;1;0;6;0;0;"-93,69245";"42,024604";"CollgCr"
5.289;7;7.542;10.53;10.53;2;1;2.717;6;0;3.447;"-93,690111";"42,024327";"CollgCr"
5.368;6;6.675;12.855;12.89;2;0;0;7;1;0;"-93,689485";"42,02437";"CollgCr"
5.352;7;7.2;12.052;12.052;2;1;3.55;7;1;3;"-93,688934";"42,023308";"CollgCr"
5.677;9;11.015;14.297;14.312;2;0;7.061;7;2;0;"-93,68698";"42,027368";"CollgCr"
5.161;5;6.448;9.95;9.95;1;2;0;5;0;0;"-93,691873";"42,022077";"CollgCr"
5.155;5;6.293;9.439;9.439;1;3;0;5;0;2.437;"-93,692135";"42,021176";"CollgCr"
5.324;6;7.01;8.453;8.91;2;2;0;7;0;0;"-93,690545";"42,020912";"CollgCr"
5.164;5;5.879;9.439;9.439;1;3;0;5;0;4.8;"-93,692286";"42,019032";"CollgCr"
5.193;5;7.2;9.439;9.439;1;3;0;5;0;4.49;"-93,692005";"42,019047";"CollgCr"
5.161;5;7.777;9.439;9.439;1;3;0;5;0;0;"-93,691612";"42,019153";"CollgCr"
5.296;7;7.01;8.828;8.828;2;3;0;6;0;4.221;"-93,690548";"42,018597";"CollgCr"
5.31;7;7.206;11.58;11.623;2;2;4.058;6;0;3.6;"-93,690324";"42,017569";"CollgCr"
5.283;7;7.742;11.349;11.349;2;2;0;6;0;0;"-93,691667";"42,016903";"CollgCr"
5.281;7;7.206;11.494;11.537;2;2;3.354;6;0;3.286;"-93,689019";"42,017766";"CollgCr"
5.301;7;6.654;9.08;9.099;2;1;0;8;0;3.625;"-93,68923";"42,01686";"CollgCr"
5.28;7;6.821;8.721;8.721;2;2;0;7;0;0;"-93,689344";"42,016896";"CollgCr"
5.337;7;6.614;9.415;9.415;2;2;3.6;7;1;4.168;"-93,689518";"42,016829";"CollgCr"
5.349;7;7.397;9.099;9.099;2;2;3.818;6;1;0;"-93,68895";"42,015949";"CollgCr"
5.186;5;5.771;9.558;9.605;2;7;3.189;6;1;3.381;"-93,686678";"42,021386";"CollgCr"
5.13;5;8.205;9.675;9.675;1;6;0;5;0;0;"-93,687734";"42,022239";"CollgCr"
5.135;5;5.499;8.818;8.818;1;1;2.846;6;0;0;"-93,684887";"42,019548";"CollgCr"
5.109;5;5.196;9.348;9.348;1;8;0;5;1;0;"-93,684982";"42,019697";"CollgCr"
5.167;6;7.2;9.198;9.609;1;6;0;5;0;0;"-93,685158";"42,019769";"CollgCr"
5.051;5;6.441;8.91;8.91;1;7;0;5;0;2.939;"-93,683235";"42,021056";"CollgCr"
5.125;5;5.515;8.818;8.818;1;8;0;5;1;0;"-93,683157";"42,020666";"CollgCr"
5.068;4;8.094;5.886;8.874;1;1;0;5;0;5.628;"-93,683169";"42,021737";"CollgCr"
5.398;7;10.526;11.883;12.041;2;2;0;6;0;4.856;"-93,687819";"42,017109";"CollgCr"
5.435;8;7.765;11.929;12.004;2;2;6.566;6;1;4.025;"-93,685523";"42,019069";"CollgCr"
5.417;8;6.913;10.812;10.812;2;2;3.118;7;1;3.795;"-93,682623";"42,01877";"CollgCr"
5.363;7;7.162;10.636;10.775;2;2;4.52;8;1;0;"-93,684227";"42,018709";"CollgCr"
5.362;8;7.707;9.506;9.506;2;2;5.367;7;2;4.49;"-93,684396";"42,017598";"CollgCr"
5.328;7;7.409;9.387;9.449;2;1;0;7;1;0;"-93,687786";"42,016961";"CollgCr"
5.324;7;7.397;9.217;9.217;2;2;0;6;0;4.8;"-93,685673";"42,016978";"CollgCr"
5.362;7;9;12.201;12.201;2;1;5.153;6;0;0;"-93,685571";"42,016979";"CollgCr"
5.429;8;7.625;9.905;9.905;2;2;4.847;8;1;4.211;"-93,683718";"42,016904";"CollgCr"
5.324;7;6.483;9.79;9.79;2;2;0;9;1;3.286;"-93,679147";"42,01869";"CollgCr"
5.307;7;6.559;11.634;11.634;2;3;4.2;6;1;3.217;"-93,680706";"42,018875";"CollgCr"
5.439;8;7.099;11.738;11.738;2;2;4.8;7;1;4.069;"-93,681196";"42,018864";"CollgCr"
5.324;7;7.397;8.798;10.444;2;1;4.781;7;2;4.5;"-93,6800822";"42,0185298";"CollgCr"
5.455;9;7.949;12.097;12.252;2;1;4.399;7;1;4.809;"-93,679805";"42,018017";"CollgCr"
5.341;7;7.619;9.753;9.753;2;3;7.181;8;0;7.2;"-93,681411";"42,017856";"CollgCr"
5.38;8;7.074;10.479;10.479;2;3;6.279;8;1;0;"-93,681274";"42,017856";"CollgCr"
5.438;7;7.244;9.986;9.986;2;2;0;8;1;4.772;"-93,682686";"42,017858";"CollgCr"
5.124;6;6.148;8.736;8.736;1;1;3.912;4;0;3.55;"-93,681191";"42,016275";"CollgCr"
5.158;6;6.148;8.736;8.736;1;2;3.912;4;0;3.55;"-93,681227";"42,016275";"CollgCr"
5.368;8;7.852;9.854;9.854;2;0;0;8;1;0;"-93,683777";"42,016618";"CollgCr"
5.267;6;8.055;12.862;12.862;2;2;0;8;0;3.795;"-93,68031";"42,016262";"CollgCr"
5.341;7;6.25;8.731;8.731;2;1;0;8;1;3;"-93,687684";"42,015974";"CollgCr"
5.254;7;7.048;8.15;8.15;2;0;0;7;0;0;"-93,684118";"42,014039";"CollgCr"
5.293;7;7.131;8.798;8.798;2;1;0;7;0;0;"-93,685369";"42,01397";"CollgCr"
5.239;7;7.212;10.257;10.349;2;1;0;5;0;3;"-93,684625";"42,013544";"CollgCr"
5.225;6;6.271;10.941;10.941;2;0;0;6;1;0;"-93,684285";"42,01343";"CollgCr"
5.143;5;4.025;8.199;8.96;1;12;0;9;0;4.274;"-93,646438";"42,01895";"Crawfor"
5.217;6;4.025;7.361;9;1;3;0;7;2;2.939;"-93,646624";"42,01804";"Crawfor"
5.135;5;5.628;10.775;11.313;1;12;0;6;0;0;"-93,646817";"42,017888";"Crawfor"
5.223;7;5.091;8.58;8.58;1;12;0;7;1;0;"-93,64644";"42,016941";"Crawfor"
5.078;5;4.648;9.099;9.266;1;12;0;5;1;0;"-93,646416";"42,016067";"Crawfor"
5.161;6;6.654;9.387;9.387;2;12;6.17;8;0;0;"-93,6435257";"42,0199537";"Crawfor"
5.362;8;6;8.443;8.443;1;12;0;7;2;0;"-93,642431";"42,019059";"Crawfor"
5.041;5;4.5;8.92;9.159;1;12;0;6;0;2.4;"-93,639497";"42,018766";"Crawfor"
5.19;5;5.256;10.704;10.704;1;10;0;5;0;6.593;"-93,64012";"42,017583";"Crawfor"
5.338;7;6.371;9.591;10.049;2;12;4.93;7;1;0;"-93,642319";"42,016385";"Crawfor"
5.498;8;6.293;8.762;11.807;2;3;0;10;2;0;"-93,641156";"42,016961";"Crawfor"
5.374;5;6.6;13.07;13.07;2;11;0;7;2;0;"-93,640311";"42,012638";"Crawfor"
5.23;4;7.518;12.296;12.296;2;3;0;7;0;3.699;"-93,644923";"42,011836";"Crawfor"
5.461;7;6.6;11.623;12.731;2;3;0;6;2;0;"-93,641677";"42,010797";"Crawfor"
5.574;8;6.675;11.898;12.093;2;0;6.525;5;1;3.327;"-93,615697";"42,009401";"Crawfor"
5.371;8;6.958;11.898;12.093;2;0;6.58;5;1;3.327;"-93,615618";"42,009401";"Crawfor"
5.469;8;6.874;11.985;12.179;2;0;4.091;5;1;3.818;"-93,616584";"42,008803";"Crawfor"
4.799;5;4.51;7.256;7.863;2;12;0;6;0;0;"-93,658381";"42,022978";"Edwards"
5.334;5;7.2;6.067;10.92;2;1;0;6;1;0;"-93,669606";"42,026185";"Edwards"
5.145;3;6.378;0;12.489;2;11;0;8;1;0;"-93,665996";"42,027656";"Edwards"
5.086;4;6.695;0;11.157;1;11;0;6;0;0;"-93,665994";"42,027506";"Edwards"
4.919;5;5.739;6.42;8.669;1;12;0;5;0;0;"-93,662762";"42,028226";"Edwards"
5.106;6;6.573;11.368;12.329;1;11;0;7;1;0;"-93,667776";"42,024483";"Edwards"
4.778;5;5.612;10.716;10.716;1;11;0;5;0;0;"-93,667209";"42,023916";"Edwards"
5.189;6;4.648;8.199;8.96;1;12;0;6;1;0;"-93,665271";"42,026133";"Edwards"
4.998;5;0;8.818;8.818;1;7;0;4;0;0;"-93,6650659";"42,0257161";"Edwards"
5.27;6;6.434;10.444;10.444;2;1;0;6;0;3;"-93,6658876";"42,0247497";"Edwards"
5.092;5;5.265;9.391;10.165;1;11;0;6;0;0;"-93,660187";"42,026308";"Edwards"
4.934;4;0;6.893;7.379;1;1;0;5;0;0;"-93,66468";"42,020186";"Edwards"
5.114;5;4.874;9.665;9.665;2;5;3.662;5;0;0;"-93,6643138";"42,0246868";"Edwards"
4.961;5;5.02;8.538;9.496;1;12;0;7;1;0;"-93,658506";"42,022824";"Edwards"
5.033;4;6.841;0;10.067;2;2;0;5;0;0;"-93,678305";"42,020123";"Edwards"
5.193;5;5.358;5.856;9.449;1;12;0;6;0;2.324;"-93,677482";"42,021245";"Edwards"
5;5;0;0;12.238;2;9;0;8;0;0;"-93,677553";"42,021041";"Edwards"
5.09;5;4.874;9.914;9.914;1;9;0;6;0;4.828;"-93,677551";"42,020905";"Edwards"
5.041;4;6.841;9.895;9.895;1;9;1.342;4;0;0;"-93,676222";"42,021221";"Edwards"
5.098;6;5.628;9.525;9.932;1;7;0;5;1;0;"-93,675268";"42,020306";"Edwards"
5.033;5;0;9.468;9.468;1;8;0;6;1;3.6;"-93,673137";"42,02099";"Edwards"
5.293;7;7.446;8.464;8.517;2;1;4.135;8;1;3.888;"-93,672379";"42,01899";"Edwards"
5.219;7;5.977;8.194;8.27;2;1;2.877;7;1;4.002;"-93,672408";"42,018991";"Edwards"
5.149;5;7.219;0;9.95;2;6;0;11;0;0;"-93,674327";"42,01917";"Edwards"
5.234;5;6.634;8.128;8.128;2;1;0;6;0;0;"-93,67318";"42,018922";"Edwards"
5.146;6;6.874;7.016;9.822;2;0;2.717;5;0;0;"-93,669977";"42,01896";"Edwards"
5.163;6;6.874;7.016;9.822;1;1;2.683;5;0;0;"-93,669952";"42,01896";"Edwards"
5.114;7;5.848;9.343;9.343;2;1;2.121;7;0;0;"-93,670039";"42,018812";"Edwards"
4.929;4;5.367;8.879;8.879;1;10;0;5;0;0;"-93,666315";"42,019423";"Edwards"
4.991;4;4.648;0;9.895;2;12;0;9;0;2.877;"-93,6644556";"42,0217997";"Edwards"
5.079;5;0;7.256;7.256;1;1;0;5;0;1.944;"-93,660115";"42,021582";"Edwards"
4.908;5;0;7.695;7.695;1;2;0;8;0;0;"-93,659222";"42,022641";"Edwards"
5.049;4;5.879;7.099;8.464;1;2;0;6;0;3.888;"-93,664821";"42,01965";"Edwards"
5.097;4;5.652;8.314;8.314;1;11;0;4;1;0;"-93,66346";"42,018943";"Edwards"
5.132;5;5.196;8.57;8.859;1;11;0;8;0;3.3;"-93,66345";"42,018541";"Edwards"
5.041;6;6.893;7.846;7.846;1;2;0;7;0;0;"-93,657963";"42,022092";"Edwards"
5.291;6;6.504;9.129;9.129;2;3;1.342;7;1;5.692;"-93,638925";"42,060779";"Gilbert"
5.264;6;6;8.554;8.554;2;2;0;6;1;6.155;"-93,639067";"42,059909";"Gilbert"
5.278;6;6.504;9.222;9.222;2;3;0;7;1;4.762;"-93,639388";"42,059956";"Gilbert"
5.346;7;7.601;9.315;9.454;2;2;5.065;8;1;0;"-93,637871";"42,061407";"Gilbert"
5.283;6;6.518;9.212;9.212;2;2;0;7;2;3;"-93,638778";"42,060822";"Gilbert"
5.273;6;6.067;7.886;7.886;2;2;0;6;1;5.324;"-93,637566";"42,06048";"Gilbert"
5.25;5;6.03;11.015;11.161;2;3;0;7;0;0;"-93,636718";"42,060639";"Gilbert"
5.38;7;7.88;12.26;12.26;2;0;1.559;7;1;3.6;"-93,635967";"42,06281";"Gilbert"
5.577;9;8.26;12.536;12.536;2;1;3.795;7;2;4.253;"-93,635838";"42,062956";"Gilbert"
5.249;7;5.97;5.879;8.221;2;3;0;7;1;4.8;"-93,63921";"42,059283";"Gilbert"
5.219;6;6.148;7.92;7.92;2;3;3.175;6;1;4.135;"-93,636949";"42,058421";"Gilbert"
5.274;6;6.228;8.341;8.341;2;3;0;8;1;4.49;"-93,637763";"42,059411";"Gilbert"
5.258;6;6.067;7.977;7.977;2;3;0;7;1;0;"-93,637671";"42,059645";"Gilbert"
5.25;6;5.917;8.528;8.528;2;4;0;7;1;5.548;"-93,635753";"42,05793";"Gilbert"
5.241;6;5.556;7.949;7.949;2;3;0;6;1;0;"-93,636822";"42,058173";"Gilbert"
5.352;7;6.641;9.382;9.511;2;2;5.564;9;1;0;"-93,639325";"42,058201";"Gilbert"
5.256;7;6.708;11.321;11.392;2;4;0;5;0;0;"-93,634644";"42,058747";"Gilbert"
5.215;8;6.654;7.093;9.859;2;1;0;8;0;5.408;"-93,6235954";"42,0603514";"Gilbert"
5.161;5;7.175;9.749;9.749;1;11;0;5;0;4.874;"-93,625169";"42,056702";"Gilbert"
5.124;6;8.15;11.572;11.572;2;12;1.99;6;1;0;"-93,6225667";"42,0586718";"Gilbert"
5.253;6;5.947;8.395;8.395;2;0;0;8;1;0;"-93,645875";"42,062483";"Gilbert"
5.341;7;7.707;8.894;8.894;2;0;0;9;1;3;"-93,644366";"42,061928";"Gilbert"
5.284;5;5.786;8.117;8.128;2;1;0;7;1;3;"-93,64458";"42,060239";"Gilbert"
5.271;6;6.371;9.178;9.305;2;2;5.35;8;1;0;"-93,641331";"42,057986";"Gilbert"
5.387;6;5.925;9.449;9.591;2;2;1.897;7;1;1.47;"-93,641919";"42,059068";"Gilbert"
5.459;7;7.452;9.651;9.868;3;0;0;8;0;6;"-93,641283";"42,05696";"Gilbert"
5.173;6;5.333;8.05;10.156;2;12;0;8;0;0;"-93,628299";"42,025306";"IDOTRR"
5.306;6;7.695;8.166;11.607;3;9;4.589;9;1;0;"-93,629496";"42,021576";"IDOTRR"
5.149;6;6.997;8.379;8.379;1;12;0;6;1;0;"-93,6275137";"42,0242321";"IDOTRR"
4.927;6;0;6.841;6.841;1;5;0;5;0;2.184;"-93,629501";"42,022825";"IDOTRR"
4.998;4;6.264;8.528;8.684;2;10;0;5;0;0;"-93,628263";"42,022963";"IDOTRR"
5.009;5;4.399;9.372;9.372;1;12;0;5;0;3.795;"-93,628467";"42,022786";"IDOTRR"
5.061;5;0;8.448;9.473;2;1;0;7;0;0;"-93,628412";"42,022836";"IDOTRR"
5.163;6;6.748;8.803;8.803;1;12;0;6;0;2.939;"-93,62841";"42,022709";"IDOTRR"
5.1;6;4.189;8.97;9.095;1;2;0;5;0;0;"-93,628409";"42,022607";"IDOTRR"
