,predicted
0,5.327514488425155
1,5.305446464002915
2,5.347119960764466
3,5.305801861948581
4,5.106825235131613
5,5.098035137489105
6,5.085966867368461
7,5.044001380201023
8,5.06347941847404
9,4.781961653402219
10,4.857306808894377
11,5.055016577126144
12,4.979484791388101
13,5.016893200442713
14,4.936668797931517
15,5.121516323718367
16,5.090942898602465
17,5.1149724590352585
18,5.006503765231408
19,5.041698394899331
20,4.999134281881596
21,4.7671422517389
22,5.129067870418862
23,5.019927277834332
24,5.045946173405353
25,4.77747048625281
26,5.042274833805168
27,5.076955018185917
28,5.116353917662834
29,5.208405576586588
30,5.134976692490373
31,5.362297654254668
32,5.2712304110507215
33,5.311551202041531
34,5.269819981777882
35,5.160386544418826
36,5.22266827684474
37,5.517050617839077
38,5.475853147522985
39,5.533278382701824
40,5.476403911309917
41,5.320214418538331
42,5.339051187166353
43,5.437250059580136
44,5.311501032428517
45,5.326128730022309
46,5.325075538000384
47,5.387228828327463
48,5.584012328974604
49,5.1466559303041715
50,5.14809239748093
51,5.231124045671384
52,5.155312304560779
53,5.167886841094722
54,5.1521298752822915
55,5.289516501586232
56,5.344971818344867
57,5.3220377054627
58,5.340864841723646
59,5.314686945712718
60,5.279164518741568
61,5.339524730929641
62,5.3108052458133415
63,5.215807495506878
64,5.16322691172246
65,5.135053609775445
66,5.148538492467378
67,5.1962261956520654
68,5.141909192754415
69,5.1430728075859715
70,5.095876525805348
71,5.386330833569657
72,5.438690547427951
73,5.415335377802274
74,5.364214501179743
75,5.431739354316712
76,5.321329396462146
77,5.3031149676704725
78,5.3604604262927245
79,5.426096607359061
80,5.361332497268921
81,5.361321418372397
82,5.437300457725302
83,5.3800487225081275
84,5.505817841957439
85,5.366274960050588
86,5.412342427873119
87,5.366554580449374
88,5.181668634544579
89,5.1817250465913585
90,5.398583552977141
91,5.347593294883765
92,5.324873138427021
93,5.271792069828141
94,5.283788177196885
95,5.297119873118139
96,5.272325859817011
97,5.161489823114307
98,5.215671264466644
99,5.161239428491876
100,5.24825492052669
101,5.128123976121868
102,5.25440219460636
103,5.331029052563199
104,5.124139507626689
105,5.16674379869005
106,5.3166079642126425
107,5.428210971647581
108,5.292004690973795
109,5.2050477799241515
110,5.359301216129059
111,5.3952749286661605
112,5.398952046023842
113,5.39834009933054
114,5.1365942966420635
115,5.204346803377903
116,5.083815431983241
117,5.050713370802965
118,5.113703790632195
119,5.300288743570087
120,5.167122088878117
121,5.207202289544154
122,5.056923920520779
123,5.270168801960904
124,5.160641307616332
125,4.990055963796747
126,5.1686770557664765
127,5.182597272933683
128,5.05037551066649
129,5.135823213909031
130,5.086518200216694
131,5.180974400235794
132,5.106312794913702
133,5.224370801805621
134,5.137863590786305
135,5.361603076529902
136,5.322953899615856
137,5.188886443248109
138,5.168881239103656
139,5.215698054450422
140,5.194301218992125
141,5.297188577129014
142,5.081865735612917
143,5.0953539060739725
144,5.051045648064634
145,5.0922158397935755
146,5.099206101931805
147,5.086315050441485
148,5.185077859596043
149,5.208421958007753
150,5.22246403800048
151,5.192639360721584
152,5.21702150786411
153,5.28180878969154
154,5.232017689662714
155,5.176692423596568
156,5.147715707045239
157,5.332136800512213
158,5.472092518357355
159,5.222281996955215
160,5.178355768098159
161,5.21108703607457
162,5.168511152343924
163,5.202794215191317
164,5.1473724083274135
165,5.287218156235782
166,5.232294686972301
167,5.297403838237755
168,5.110806438802955
169,5.245250252875708
170,5.188028841275545
171,5.293419037706872
172,5.131999341750412
173,5.215784170665704
174,5.202464813900914
175,5.304152108780991
176,5.219753062688216
177,5.328600398084466
178,5.200299720900993
179,5.065973785803091
180,5.0799734090842605
181,5.118774293664453
182,5.091825339489304
183,5.194825835370014
184,5.139931302618987
185,4.985265929293517
186,5.153563974537565
187,4.89030677087596
188,5.07546705290442
189,5.073831034405742
190,5.186408063398236
191,5.210747641908286
192,5.006373749141039
193,4.967510318646076
194,5.110939175350552
195,5.109937983089075
196,5.093048173146178
197,4.903246354135809
198,5.096114032885185
199,5.058244869257266
200,5.229586036681839
201,4.909497567702962
202,5.027645564923728
203,4.896419834050778
204,4.839170276613124
205,4.874370881730176
206,4.842208594236658
207,4.936112254450524
208,5.134659782921969
209,5.322290039320107
210,5.1453787840728165
211,5.170307080429404
212,5.05844186654534
213,5.039955568228893
214,5.142437598958544
215,5.35199970076694
216,5.161764974424221
217,5.15642241417666
218,5.073757649984603
219,5.20424615088903
220,5.245575758765957
221,5.078634731592444
222,5.0690474617631
223,5.151444356751924
224,4.976075174859965
225,5.079744905568504
226,5.103128238511738
227,5.010489014086753
228,4.987386780514654
229,5.056738234570795
230,5.122739426500921
231,5.131396529487655
232,5.209747843021686
233,5.158499632204821
234,5.406929624519618
235,5.378608229494988
236,5.509889708870253
237,5.104749842595141
238,5.202233201943789
239,5.143139133559457
240,5.082000109919456
241,5.0429354196104175
242,5.080447195385824
243,5.190925210132652
244,5.235465489121763
245,5.243482157333415
246,5.14633562236364
247,5.121314203916722
248,5.2673046092595905
249,5.162577393515436
250,5.105464903420053
251,5.074669803239119
252,5.026777466703258
253,5.039704749580905
254,5.229949312194573
255,5.092670970335261
256,5.223811646614681
257,5.296358185999495
258,5.202637948632104
259,5.213827921424368
260,5.233795271623587
261,5.123676308380004
262,5.294951296818314
263,5.025981101974346
264,5.109979518000424
265,5.115794519652544
266,5.253375186933735
267,5.255724808259486
268,5.144139050564559
269,5.299392746405025
270,5.244863682949542
271,5.126230727947137
272,5.212820128668133
273,5.243943205674728
274,5.316096987892615
275,5.245966280508486
276,5.265796857716679
277,5.145551112138515
278,5.091263394161664
279,5.271656868459826
280,5.270901877150496
281,5.131325918869314
282,5.240846069171152
283,5.183883650776936
284,5.235096881599961
285,5.210554007197863
286,5.183136860859519
287,5.165502278084481
288,5.0854060866839905
289,5.2167969624762645
290,5.10394241954591
291,5.124387091852739
292,5.1632171755733705
293,5.096683867642472
294,5.1415929103935065
295,5.093596297644102
296,5.136201282377751
297,5.103847899260807
298,5.140632790198038
299,5.164592523291991
300,5.245445948820845
301,5.091169016708988
302,5.091882908842718
303,5.199878271900569
304,5.149280471565561
305,5.165852457934421
306,5.085447166961558
307,5.291877485809611
308,5.257904316250171
309,5.182750895687072
310,5.044394248164265
311,5.134598645044933
312,5.155961629697547
313,4.963895214758372
314,4.962538316233603
315,5.079228649979937
316,5.1919749204419565
317,5.121034364251132
318,5.0764644076702945
319,5.181306884083966
320,5.208842402130372
321,5.231881733807264
322,5.288681589494257
323,5.121361830378262
324,5.099733149067543
325,5.127908078647477
326,5.136907525804243
327,5.357188585522903
328,5.459937603952469
329,5.4055584609608545
330,5.342763543220226
331,5.457069410934438
332,5.4766360331684805
333,5.3618927329450194
334,5.40040811800739
335,5.3181577852984425
336,5.350070365432343
337,5.38437662607722
338,5.415844485973801
339,5.362419286154908
340,5.415062477130406
341,5.464481170541537
342,5.382515366895644
343,5.311209893203049
344,5.388399619392688
345,5.310030262521588
346,5.209187590855707
347,5.152162665025822
348,5.207976905719801
349,5.478246143777333
350,5.485525716041135
351,5.584399211916498
352,5.5812155259964715
353,5.558645530247917
354,5.651922604488459
355,5.563358103071627
356,5.586705096811054
357,5.587815597585027
358,5.461871147288362
359,5.404822917700662
360,5.471509290877223
361,5.457126998722734
362,5.486067088403562
363,5.560354586643772
364,5.620085666432654
365,5.427069904600815
366,5.496353763717736
367,5.538472748226333
368,5.529305866432254
369,5.440299573785521
370,5.443189812978277
371,5.393006159644035
372,5.246264303311831
373,5.128271236505908
374,5.441755245896414
375,5.060778290418001
376,5.187219857169419
377,5.2304994925124975
378,5.172317229037613
379,5.113609202163045
380,5.261970802393859
381,5.230665091101813
382,5.193065699930051
383,5.29547313331209
384,5.248003496299524
385,5.188077393505633
386,5.175063682549333
387,5.115916722363402
388,5.227375859061129
389,5.183892867697219
390,5.189622792105917
391,5.124665710722917
392,5.017265309232839
393,5.165298337886019
394,5.006617950593412
395,5.265793654431055
396,4.8692565674708375
397,5.001337665856676
398,5.153723067566822
399,5.171870457698521
400,5.099074075559885
401,5.118841155249244
402,5.208709438202073
403,5.1855470919061055
404,5.026373476609577
405,5.091505023800609
406,5.275848763579434
407,5.270119905396285
408,5.110090678993526
409,5.082207440887842
410,5.190691699303941
411,5.125579287965112
412,5.081249481700293
413,5.201127196235957
414,5.1580294909719075
415,5.093119338353081
416,5.050180863285803
417,5.182815997140401
418,5.155441873296557
419,5.196112870982472
420,5.180147242652685
421,5.179792593574327
422,5.183608409831903
423,5.152830512185159
424,5.241684935498232
425,5.2358794995166305
426,5.0896819277868754
427,5.197751421163534
428,5.274429269972975
429,5.266679262115983
430,5.354890963147573
431,5.357302132935888
432,5.313262137752559
433,5.288210787767481
434,5.320463060483692
435,5.192016412341819
436,5.157050955285476
437,4.989193076971181
438,5.197359976744876
439,5.083382893894902
440,5.063988557623396
441,5.078909999137247
442,5.051498436755515
443,5.057081208902965
444,5.103039214714619
445,5.051442502421066
446,5.109717148441103
447,5.06126920733881
448,5.081928777473354
449,5.068287753339645
450,5.097857429299525
451,5.1189134385717425
452,5.182856147181581
453,5.106072419926829
454,4.948068250211644
455,5.067965890441838
456,5.081613467175217
457,5.080847672510839
458,5.0931644604983175
459,5.136563608597991
460,5.0860567174995746
461,5.1630230912969814
462,5.193591969588612
463,5.2562805201929335
464,5.250430956528926
465,5.099125316215741
466,5.077075914669531
467,5.165276490492932
468,5.141570161383382
469,5.10388161810231
470,5.203440933920916
471,5.247373815180561
472,5.095976957526644
473,5.1483862010676145
474,5.184242336480858
475,5.294922387792188
476,5.244304951145957
477,5.313277792185378
478,5.219298680639928
479,5.241289058614025
480,5.317751816086397
481,5.284603135880974
482,5.226160058768507
483,5.118375314460855
484,5.18845483782705
485,5.021192899898612
486,5.101128956012053
487,5.044094462539622
488,5.116730054003938
489,5.236740567269302
490,5.274220394924639
491,5.232492591311005
492,5.385902473483148
493,5.350398289403283
494,5.343164654502267
495,5.186031628237881
496,5.0886669547613606
497,5.417167505688086
498,5.417744519812324
499,5.299235778706243
500,5.370194954650352
501,5.296306190904526
502,5.353885363972398
503,5.5010818166464475
504,5.303624418784362
505,5.407680815644369
506,5.367728943451763
507,5.4097320267858215
508,5.380746447112315
509,5.425205540967535
510,5.2095564412267965
511,5.420274765680322
512,5.390570936570294
513,5.390362886681212
514,5.21750693614727
515,5.381211463516192
516,5.450628435612202
517,5.224253679521347
518,5.317669975050235
519,5.243900159929245
520,5.209018410365306
521,5.197465600936182
522,5.1872069928288065
523,5.186075113316551
524,5.2198527581034755
525,5.4011946899116845
526,5.166489977222165
527,5.230408472711469
528,5.30494625369029
529,5.346138451505085
530,5.389959611033818
531,5.3752373963849225
532,5.349747255100353
533,5.3366981030035445
534,5.469647510974735
535,5.339640663970828
536,5.569580322242203
537,5.573614995440893
538,5.418772914861553
539,4.993978952996699
540,5.140651205708319
541,5.097270484561051
542,5.038411323130661
543,5.228570625131038
544,4.94862655475781
545,5.17456419807094
546,5.286826088921518
547,5.45346214826954
548,5.425692056632459
549,5.3980996169541395
550,5.471136720599145
551,5.361697669871084
552,5.333864632560181
553,5.367889864469911
554,5.268247661594845
555,5.384290396641818
556,5.486626769056148
557,5.565478073744552
558,5.341219210089047
559,5.354699233342086
560,5.357766604297189
561,5.326764628153935
